date,loss_ratio
2023-06-12,0.0030180228748965
2022-02-09,0.0030186394659419
2022-09-07,0.0030256271308042
2023-06-20,0.0030324303757723
2023-03-21,0.0030359755946198
2023-03-17,0.0030457409674422
2023-03-20,0.0030477501360359
2023-09-21,0.0030523433263052
2023-07-05,0.0030616995057459
2023-10-30,0.0030684230264167
2022-10-13,0.0030715255274788
2023-05-11,0.0030769096920755
2022-08-22,0.0030826150726895
2022-09-13,0.0030924647576547
2023-04-20,0.0030946392916395
2023-02-08,0.0030952793819766
2022-08-17,0.0030979314413274
2022-10-14,0.003099474468359
2022-08-08,0.0031090787228254
2022-03-01,0.0031109763294183
2023-10-11,0.0031127258435546
2023-10-27,0.0031151152948657
2023-04-19,0.0031264940126539
2022-08-30,0.0031276952445972
2021-12-08,0.0031297469597177
